co_ppm,so2_ppm,temperature_c,humidity_pct,device_health,hour,near_school,near_clinic,risk_class
16.76,5.98,23.9,31.7,0,23,0,0,medium
7.83,7.55,20.02,94.42,1,21,0,0,low
0.59,10.29,25.82,26.8,1,11,0,0,medium
12.81,4.34,43.72,92.42,1,8,0,0,medium
20.22,2.44,24.33,49.33,1,3,0,0,medium
3.31,7.74,43.49,87.11,1,15,0,0,medium
17.55,6.8,33.49,64.01,1,12,0,1,medium
6.56,10.35,37.67,74.68,1,4,1,0,medium
5.3,6.1,36.65,64.35,1,2,0,0,low
22.85,11.68,32.34,59.2,1,9,0,0,high
11.13,12.96,23.48,65.33,1,3,1,0,high
19.27,8.71,22.64,54.24,1,19,1,0,medium
6.4,5.11,40.45,84.55,0,7,0,0,medium
4.3,12.6,25.47,61.86,1,16,0,0,medium
24.5,4.64,35.86,71.05,1,5,0,0,medium
10.92,11.64,35.81,67.51,1,15,1,0,high
5.23,11.63,25.51,73.34,1,19,0,0,medium
16.02,10.41,28.53,28.51,1,9,0,0,medium
10.27,16.48,22.33,87.29,1,22,0,0,medium
52.94,10.39,24.04,87.39,1,2,0,1,high
26.48,2.76,31.21,94.58,1,3,0,0,medium
4.31,12.98,34.21,27.03,1,22,0,0,medium
15.81,12.56,28.75,68.38,1,0,0,0,medium
11.4,6.89,43.51,91.54,1,2,1,1,high
10.47,18.27,27.64,34.32,1,2,0,0,medium
13.3,8.86,35.38,94.25,1,9,1,0,medium
24.45,13.72,40.23,80.76,1,12,0,0,high
3.91,9.56,21.27,86.5,0,1,0,0,low
11.31,4.27,34.77,22.29,0,5,0,0,medium
22.76,4.36,31.43,83.15,1,14,0,0,medium
3.39,0.77,24.61,26.07,1,11,0,0,low
7.88,3.83,36.5,41.0,1,6,0,0,low
3.91,7.92,22.29,27.06,1,19,0,0,low
19.19,10.27,36.24,23.6,1,3,0,0,high
12.2,27.63,24.07,25.29,1,16,1,0,high
18.07,13.55,40.28,81.55,1,0,1,1,high
14.39,3.94,41.12,21.75,1,8,0,0,medium
17.13,5.76,44.19,61.1,1,23,1,1,high
1.82,2.14,43.27,84.38,1,12,1,0,medium
18.37,0.49,27.44,27.5,0,8,1,0,medium
12.63,8.15,22.08,26.88,1,19,0,0,medium
18.26,10.47,21.44,61.21,1,22,0,0,medium
12.5,7.1,25.56,49.75,1,1,0,0,medium
25.52,4.49,38.83,48.22,1,11,0,0,medium
9.14,6.64,22.97,28.81,1,0,0,0,low
7.37,0.32,30.91,80.16,1,12,0,1,low
13.81,6.73,44.23,59.23,1,13,0,1,high
5.29,18.06,43.97,24.34,1,23,0,0,high
10.3,1.83,21.94,93.08,1,21,0,0,low
35.28,1.55,21.91,90.54,1,4,0,0,medium
25.9,4.53,34.85,48.57,1,16,1,0,medium
2.38,4.03,40.32,94.98,1,20,0,0,low
6.76,16.41,26.29,40.6,1,0,0,0,medium
5.67,5.22,39.31,59.01,1,21,1,0,medium
15.82,16.28,39.62,67.95,1,6,0,0,high
24.08,1.08,42.6,46.12,1,23,1,0,high
38.76,7.91,41.05,77.67,0,4,1,0,high
25.04,1.65,23.22,29.6,1,21,0,0,medium
6.1,19.58,44.33,65.15,1,20,0,0,medium
10.73,2.62,32.59,71.78,0,14,0,0,low
10.68,5.59,24.61,35.7,1,21,0,0,medium
36.29,8.06,23.33,71.54,1,10,0,0,high
31.57,0.33,29.43,21.51,1,6,0,0,medium
6.4,2.21,36.22,55.97,1,21,0,0,low
4.58,5.73,36.15,62.81,1,12,0,1,medium
9.9,0.47,40.15,24.17,1,2,0,0,medium
15.56,6.24,26.45,32.82,1,1,0,0,medium
22.29,3.46,30.64,58.07,1,14,1,0,medium
11.78,3.09,34.85,47.69,1,4,0,1,medium
23.33,4.11,39.01,64.67,1,22,1,0,high
16.24,10.57,44.77,35.38,1,0,1,0,high
10.62,7.27,24.09,32.32,1,13,0,0,medium
9.39,12.86,29.42,54.7,1,22,0,0,medium
3.79,1.32,25.73,60.71,1,2,0,0,low
15.0,4.74,42.35,79.14,1,0,1,0,medium
8.77,4.7,38.87,27.72,1,14,1,0,medium
